ds,y
8/12/2022,172.1000061
8/15/2022,173.1900024
8/16/2022,173.0299988
8/17/2022,174.5500031
8/18/2022,174.1499939
8/19/2022,171.5200043
8/22/2022,167.5700073
8/23/2022,167.2299957
8/24/2022,167.5299988
8/25/2022,170.0299988
8/26/2022,163.6199951
8/29/2022,161.3800049
8/30/2022,158.9100037
8/31/2022,157.2200012
9/1/2022,157.9600067
9/2/2022,155.8099976
9/6/2022,154.5299988
9/7/2022,155.9600067
9/8/2022,154.4600067
9/9/2022,157.3699951
9/12/2022,163.4299927
9/13/2022,153.8399963
9/14/2022,155.3099976
9/15/2022,152.3699951
9/16/2022,150.6999969
9/19/2022,154.4799957
9/20/2022,156.8999939
9/21/2022,153.7200012
9/22/2022,152.7400055
9/23/2022,150.4299927
9/26/2022,150.7700043
9/27/2022,151.7599945
9/28/2022,149.8399963
9/29/2022,142.4799957
9/30/2022,138.1999969
10/3/2022,142.4499969
10/4/2022,146.1000061
10/5/2022,146.3999939
10/6/2022,145.4299927
10/7/2022,140.0899963
10/10/2022,140.4199982
10/11/2022,138.9799957
10/12/2022,138.3399963
10/13/2022,142.9900055
10/14/2022,138.3800049
10/17/2022,142.4100037
10/18/2022,143.75
10/19/2022,143.8600006
10/20/2022,143.3899994
10/21/2022,147.2700043
10/24/2022,149.4499969
10/25/2022,152.3399963
10/26/2022,149.3500061
10/27/2022,144.8000031
10/28/2022,155.7400055
10/31/2022,153.3399963
11/1/2022,150.6499939
11/2/2022,145.0299988
11/3/2022,138.8800049
11/4/2022,138.3800049
11/7/2022,138.9199982
11/8/2022,139.5
11/9/2022,134.8699951
11/10/2022,146.8699951
11/11/2022,149.6999969
11/14/2022,148.2799988
11/15/2022,150.0399933
11/16/2022,148.7899933
11/17/2022,150.7200012
11/18/2022,151.2899933
11/21/2022,148.0099945
11/22/2022,150.1799927
11/23/2022,151.0700073
11/25/2022,148.1100006
11/28/2022,144.2200012
11/29/2022,141.1699982
11/30/2022,148.0299988
12/1/2022,148.3099976
12/2/2022,147.8099976
12/5/2022,146.6300049
12/6/2022,142.9100037
12/7/2022,140.9400024
12/8/2022,142.6499939
12/9/2022,142.1600037
12/12/2022,144.4900055
12/13/2022,145.4700012
12/14/2022,143.2100067
12/15/2022,136.5
12/16/2022,134.5099945
12/19/2022,132.3699951
12/20/2022,132.3000031
12/21/2022,135.4499969
12/22/2022,132.2299957
12/23/2022,131.8600006
12/27/2022,130.0299988
12/28/2022,126.0400009
12/29/2022,129.6100006
12/30/2022,129.9299927
1/3/2023,125.0699997
1/4/2023,126.3600006
1/5/2023,125.0199966
1/6/2023,129.6199951
1/9/2023,130.1499939
1/10/2023,130.7299957
1/11/2023,133.4900055
1/12/2023,133.4100037
1/13/2023,134.7599945
1/17/2023,135.9400024
1/18/2023,135.2100067
1/19/2023,135.2700043
1/20/2023,137.8699951
1/23/2023,141.1100006
1/24/2023,142.5299988
1/25/2023,141.8600006
1/26/2023,143.9600067
1/27/2023,145.9299927
1/30/2023,143
1/31/2023,144.2899933
2/1/2023,145.4299927
2/2/2023,150.8200073
2/3/2023,154.5
2/6/2023,151.7299957
2/7/2023,154.6499939
2/8/2023,151.9199982
2/9/2023,150.8699951
2/10/2023,151.0099945
2/13/2023,153.8500061
2/14/2023,153.1999969
2/15/2023,155.3300018
2/16/2023,153.7100067
2/17/2023,152.5500031
2/21/2023,148.4799957
2/22/2023,148.9100037
2/23/2023,149.3999939
2/24/2023,146.7100067
2/27/2023,147.9199982
2/28/2023,147.4100037
3/1/2023,145.3099976
3/2/2023,145.9100037
3/3/2023,151.0299988
3/6/2023,153.8300018
3/7/2023,151.6000061
3/8/2023,152.8699951
3/9/2023,150.5899963
3/10/2023,148.5
3/13/2023,150.4700012
3/14/2023,152.5899963
3/15/2023,152.9900055
3/16/2023,155.8500061
3/17/2023,155
3/20/2023,157.3999939
3/21/2023,159.2799988
3/22/2023,157.8300018
3/23/2023,158.9299927
3/24/2023,160.25
3/27/2023,158.2799988
3/28/2023,157.6499939
3/29/2023,160.7700043
3/30/2023,162.3600006
3/31/2023,164.8999939
4/3/2023,166.1699982
4/4/2023,165.6300049
4/5/2023,163.7599945
4/6/2023,164.6600037
4/10/2023,162.0299988
4/11/2023,160.8000031
4/12/2023,160.1000061
4/13/2023,165.5599976
4/14/2023,165.2100067
4/17/2023,165.2299957
4/18/2023,166.4700012
4/19/2023,167.6300049
4/20/2023,166.6499939
4/21/2023,165.0200043
4/24/2023,165.3300018
4/25/2023,163.7700043
4/26/2023,163.7599945
4/27/2023,168.4100037
4/28/2023,169.6799927
5/1/2023,169.5899963
5/2/2023,168.5399933
5/3/2023,167.4499969
5/4/2023,165.7899933
5/5/2023,173.5700073
5/8/2023,173.5
5/9/2023,171.7700043
5/10/2023,173.5599976
5/11/2023,173.75
5/12/2023,172.5700073
5/15/2023,172.0700073
5/16/2023,172.0700073
5/17/2023,172.6900024
5/18/2023,175.0500031
5/19/2023,175.1600037
5/22/2023,174.1999969
5/23/2023,171.5599976
5/24/2023,171.8399963
5/25/2023,172.9900055
5/26/2023,175.4299927
5/30/2023,177.3000031
5/31/2023,177.25
6/1/2023,180.0899963
6/2/2023,180.9499969
6/5/2023,179.5800018
6/6/2023,179.2100067
6/7/2023,177.8200073
6/8/2023,180.5700073
6/9/2023,180.9600067
6/12/2023,183.7899933
6/13/2023,183.3099976
6/14/2023,183.9499969
6/15/2023,186.0099945
6/16/2023,184.9199982
6/20/2023,185.0099945
6/21/2023,183.9600067
6/22/2023,187
6/23/2023,186.6799927
6/26/2023,185.2700043
6/27/2023,188.0599976
6/28/2023,189.25
6/29/2023,189.5899963
6/30/2023,193.9700012
7/3/2023,192.4600067
7/5/2023,191.3300018
7/6/2023,191.8099976
7/7/2023,190.6799927
7/10/2023,188.6100006
7/11/2023,188.0800018
7/12/2023,189.7700043
7/13/2023,190.5399933
7/14/2023,190.6900024
7/17/2023,193.9900055
7/18/2023,193.7299957
7/19/2023,195.1000061
7/20/2023,193.1300049
7/21/2023,191.9400024
7/24/2023,192.75
7/25/2023,193.6199951
7/26/2023,194.5
7/27/2023,193.2200012
7/28/2023,195.8300018
7/31/2023,196.4499969
8/1/2023,195.6100006
8/2/2023,192.5800018
8/3/2023,191.1699982
8/4/2023,181.9900055
8/7/2023,178.8500061
8/8/2023,179.8000031
8/9/2023,178.1900024
8/10/2023,177.9700012
8/11/2023,177.7899933
8/14/2023,179.4600067
8/15/2023,177.4499969
8/16/2023,176.5700073
8/17/2023,174
8/18/2023,174.4900055
8/21/2023,175.8399963
8/22/2023,177.2299957
8/23/2023,181.1199951
8/24/2023,176.3800049
8/25/2023,178.6100006
8/28/2023,180.1900024
8/29/2023,184.1199951
8/30/2023,187.6499939
8/31/2023,187.8699951
9/1/2023,189.4600067
9/5/2023,189.6999969
9/6/2023,182.9100037
9/7/2023,177.5599976
9/8/2023,178.1799927
9/11/2023,179.3600006
9/12/2023,176.3000031
9/13/2023,174.2100067
9/14/2023,175.7400055
9/15/2023,175.0099945
9/18/2023,177.9700012
9/19/2023,179.0700073
9/20/2023,175.4900055
9/21/2023,173.9299927
9/22/2023,174.7899933
9/25/2023,176.0800018
9/26/2023,171.9600067
9/27/2023,170.4299927
9/28/2023,170.6900024
9/29/2023,171.2100067
10/2/2023,173.75
10/3/2023,172.3999939
10/4/2023,173.6600037
10/5/2023,174.9100037
10/6/2023,177.4900055
10/9/2023,178.9900055
10/10/2023,178.3899994
10/11/2023,179.8000031
10/12/2023,180.7100067
10/13/2023,178.8500061
10/16/2023,178.7200012
10/17/2023,177.1499939
10/18/2023,175.8399963
10/19/2023,175.4600067
10/20/2023,172.8800049
10/23/2023,173
10/24/2023,173.4400024
10/25/2023,171.1000061
10/26/2023,166.8899994
10/27/2023,168.2200012
10/30/2023,170.2899933
10/31/2023,170.7700043
